,lsat,pass_bar,bar
88,40.0,1.0,b'a Passed 1st time'
90,29.0,1.0,b'a Passed 1st time'
91,36.0,1.0,b'a Passed 1st time'
92,36.0,1.0,b'a Passed 1st time'
93,37.0,1.0,b'a Passed 1st time'
94,35.0,1.0,b'a Passed 1st time'
95,41.0,0.0,b'c Failed'
97,42.0,1.0,b'a Passed 1st time'
98,33.5,1.0,b'a Passed 1st time'
99,32.0,1.0,b'b Passed 2nd time'
100,36.0,1.0,b'a Passed 1st time'
101,34.5,1.0,b'a Passed 1st time'
102,32.0,1.0,b'a Passed 1st time'
103,35.0,1.0,b'a Passed 1st time'
104,34.0,1.0,b'a Passed 1st time'
106,27.0,1.0,b'a Passed 1st time'
107,39.0,1.0,b'a Passed 1st time'
108,40.0,1.0,b'a Passed 1st time'
110,32.0,1.0,b'a Passed 1st time'
112,42.0,1.0,b'a Passed 1st time'
113,35.0,1.0,b'a Passed 1st time'
114,34.0,1.0,b'a Passed 1st time'
115,38.0,1.0,b'a Passed 1st time'
117,42.0,1.0,b'a Passed 1st time'
120,38.0,1.0,b'a Passed 1st time'
121,37.0,1.0,b'a Passed 1st time'
124,41.0,1.0,b'a Passed 1st time'
125,32.0,1.0,b'a Passed 1st time'
126,29.0,0.0,b'c Failed'
127,40.0,1.0,b'a Passed 1st time'
128,37.0,1.0,b'a Passed 1st time'
129,,1.0,b'a Passed 1st time'
130,44.0,1.0,b'a Passed 1st time'
131,41.0,1.0,b'a Passed 1st time'
132,42.0,1.0,b'a Passed 1st time'
133,41.5,1.0,b'a Passed 1st time'
134,41.0,1.0,b'a Passed 1st time'
135,40.0,1.0,b'a Passed 1st time'
136,28.3,1.0,b'a Passed 1st time'
138,38.0,1.0,b'a Passed 1st time'
139,40.0,1.0,b'a Passed 1st time'
140,25.0,1.0,b'a Passed 1st time'
141,25.0,1.0,b'a Passed 1st time'
142,28.0,0.0,b'c Failed'
143,33.0,0.0,b'c Failed'
144,44.0,1.0,b'a Passed 1st time'
145,36.0,1.0,b'a Passed 1st time'
146,48.0,1.0,b'a Passed 1st time'
148,34.5,1.0,b'a Passed 1st time'
149,38.0,0.0,b'c Failed'
150,41.0,1.0,b'a Passed 1st time'
152,34.0,1.0,b'a Passed 1st time'
153,24.0,1.0,b'a Passed 1st time'
154,41.0,1.0,b'a Passed 1st time'
155,35.5,1.0,b'a Passed 1st time'
156,33.0,1.0,b'a Passed 1st time'
157,34.0,1.0,b'a Passed 1st time'
158,28.0,1.0,b'a Passed 1st time'
159,31.0,1.0,b'a Passed 1st time'
160,41.0,1.0,b'a Passed 1st time'
162,35.5,1.0,b'a Passed 1st time'
164,31.0,1.0,b'b Passed 2nd time'
167,44.0,1.0,b'a Passed 1st time'
168,36.0,1.0,b'a Passed 1st time'
169,36.0,1.0,b'a Passed 1st time'
170,44.0,1.0,b'a Passed 1st time'
171,44.0,1.0,b'a Passed 1st time'
172,32.0,1.0,b'a Passed 1st time'
173,42.0,1.0,b'a Passed 1st time'
174,33.0,1.0,b'b Passed 2nd time'
175,31.0,1.0,b'a Passed 1st time'
176,34.0,1.0,b'a Passed 1st time'
177,39.0,1.0,b'a Passed 1st time'
178,33.0,1.0,b'a Passed 1st time'
179,42.0,1.0,b'a Passed 1st time'
180,41.0,1.0,b'a Passed 1st time'
181,33.0,1.0,b'a Passed 1st time'
183,34.0,0.0,b'c Failed'
184,43.0,1.0,b'a Passed 1st time'
186,37.0,1.0,b'a Passed 1st time'
187,40.0,1.0,b'a Passed 1st time'
189,45.0,1.0,b'a Passed 1st time'
190,35.0,1.0,b'a Passed 1st time'
191,45.0,1.0,b'a Passed 1st time'
192,38.0,1.0,b'a Passed 1st time'
194,34.0,1.0,b'a Passed 1st time'
196,42.0,1.0,b'a Passed 1st time'
198,47.0,1.0,b'a Passed 1st time'
199,40.0,1.0,b'b Passed 2nd time'
200,34.0,1.0,b'a Passed 1st time'
201,34.0,1.0,b'a Passed 1st time'
202,38.0,1.0,b'a Passed 1st time'
203,33.0,1.0,b'a Passed 1st time'
204,37.0,1.0,b'a Passed 1st time'
205,37.0,1.0,b'a Passed 1st time'
206,34.0,1.0,b'a Passed 1st time'
207,39.0,1.0,b'a Passed 1st time'
208,40.0,1.0,b'a Passed 1st time'
209,42.0,1.0,b'a Passed 1st time'
210,26.0,1.0,b'b Passed 2nd time'
211,40.0,1.0,b'a Passed 1st time'
212,33.0,1.0,b'b Passed 2nd time'
213,34.0,1.0,b'a Passed 1st time'
214,42.0,1.0,b'a Passed 1st time'
215,38.0,1.0,b'a Passed 1st time'
216,37.0,1.0,b'a Passed 1st time'
217,42.0,1.0,b'a Passed 1st time'
219,48.0,1.0,b'a Passed 1st time'
220,25.5,1.0,b'a Passed 1st time'
221,40.0,1.0,b'a Passed 1st time'
222,40.0,1.0,b'a Passed 1st time'
223,35.5,1.0,b'a Passed 1st time'
224,33.0,1.0,b'a Passed 1st time'
226,28.0,1.0,b'a Passed 1st time'
227,34.0,1.0,b'a Passed 1st time'
228,33.0,1.0,b'a Passed 1st time'
229,37.7,1.0,b'a Passed 1st time'
230,44.0,1.0,b'a Passed 1st time'
231,37.0,1.0,b'a Passed 1st time'
232,38.0,1.0,b'a Passed 1st time'
233,41.0,1.0,b'a Passed 1st time'
234,35.0,1.0,b'a Passed 1st time'
235,41.0,1.0,b'a Passed 1st time'
236,40.0,1.0,b'a Passed 1st time'
237,40.0,1.0,b'a Passed 1st time'
238,37.0,1.0,b'a Passed 1st time'
239,36.0,1.0,b'a Passed 1st time'
240,44.0,1.0,b'a Passed 1st time'
241,37.0,1.0,b'a Passed 1st time'
243,37.0,1.0,b'a Passed 1st time'
244,32.3,1.0,b'a Passed 1st time'
246,29.0,1.0,b'a Passed 1st time'
247,40.0,1.0,b'a Passed 1st time'
248,33.0,1.0,b'a Passed 1st time'
249,40.0,1.0,b'a Passed 1st time'
250,33.0,1.0,b'a Passed 1st time'
251,43.0,1.0,b'a Passed 1st time'
253,26.0,0.0,b'c Failed'
254,42.0,1.0,b'a Passed 1st time'
255,32.0,1.0,b'b Passed 2nd time'
256,35.5,1.0,b'a Passed 1st time'
257,32.0,1.0,b'a Passed 1st time'
258,46.0,1.0,b'a Passed 1st time'
259,40.0,1.0,b'a Passed 1st time'
260,35.0,1.0,b'a Passed 1st time'
261,46.0,1.0,b'a Passed 1st time'
262,38.0,1.0,b'a Passed 1st time'
264,36.0,1.0,b'a Passed 1st time'
265,33.5,1.0,b'a Passed 1st time'
267,39.0,1.0,b'a Passed 1st time'
268,32.0,1.0,b'a Passed 1st time'
269,31.5,1.0,b'b Passed 2nd time'
271,42.0,1.0,b'a Passed 1st time'
272,41.0,1.0,b'a Passed 1st time'
273,46.0,1.0,b'a Passed 1st time'
274,38.0,1.0,b'a Passed 1st time'
275,42.0,1.0,b'a Passed 1st time'
276,42.0,1.0,b'a Passed 1st time'
278,35.5,1.0,b'a Passed 1st time'
279,29.0,1.0,b'b Passed 2nd time'
281,34.0,1.0,b'a Passed 1st time'
282,32.0,1.0,b'a Passed 1st time'
283,32.0,1.0,b'a Passed 1st time'
284,42.0,1.0,b'a Passed 1st time'
285,41.0,1.0,b'a Passed 1st time'
286,36.0,1.0,b'a Passed 1st time'
287,33.0,1.0,b'a Passed 1st time'
288,23.0,1.0,b'a Passed 1st time'
291,23.0,1.0,b'a Passed 1st time'
292,40.0,1.0,b'a Passed 1st time'
293,36.0,1.0,b'b Passed 2nd time'
294,48.0,1.0,b'a Passed 1st time'
295,37.0,1.0,b'a Passed 1st time'
296,30.0,1.0,b'b Passed 2nd time'
297,27.0,0.0,b'c Failed'
298,23.0,1.0,b'a Passed 1st time'
299,38.0,1.0,b'a Passed 1st time'
300,45.0,1.0,b'b Passed 2nd time'
301,40.0,1.0,b'b Passed 2nd time'
302,40.0,1.0,b'a Passed 1st time'
303,40.0,1.0,b'a Passed 1st time'
304,38.0,1.0,b'a Passed 1st time'
305,39.5,1.0,b'a Passed 1st time'
306,40.0,1.0,b'a Passed 1st time'
307,33.5,1.0,b'a Passed 1st time'
308,42.0,1.0,b'a Passed 1st time'
309,30.0,1.0,b'a Passed 1st time'
310,35.0,1.0,b'a Passed 1st time'
311,42.0,1.0,b'a Passed 1st time'
312,42.0,1.0,b'a Passed 1st time'
313,,1.0,b'a Passed 1st time'
314,41.0,1.0,b'a Passed 1st time'
315,41.0,1.0,b'a Passed 1st time'
316,39.0,1.0,b'a Passed 1st time'
317,40.0,1.0,b'a Passed 1st time'
318,30.0,1.0,b'a Passed 1st time'
320,37.0,1.0,b'a Passed 1st time'
321,36.0,1.0,b'a Passed 1st time'
322,,1.0,b'a Passed 1st time'
324,47.0,1.0,b'a Passed 1st time'
325,36.0,1.0,b'a Passed 1st time'
326,33.0,1.0,b'a Passed 1st time'
327,38.0,1.0,b'a Passed 1st time'
328,31.0,1.0,b'a Passed 1st time'
329,46.0,1.0,b'a Passed 1st time'
332,37.0,1.0,b'a Passed 1st time'
334,29.0,0.0,b'c Failed'
335,40.0,1.0,b'a Passed 1st time'
336,35.0,1.0,b'a Passed 1st time'
337,37.0,1.0,b'a Passed 1st time'
338,42.0,1.0,b'a Passed 1st time'
339,44.0,1.0,b'a Passed 1st time'
340,40.0,1.0,b'a Passed 1st time'
341,43.0,1.0,b'a Passed 1st time'
342,36.0,1.0,b'a Passed 1st time'
343,36.0,1.0,b'a Passed 1st time'
344,37.0,1.0,b'a Passed 1st time'
345,37.0,1.0,b'a Passed 1st time'
346,42.0,1.0,b'a Passed 1st time'
347,44.0,1.0,b'a Passed 1st time'
348,40.0,1.0,b'b Passed 2nd time'
349,31.0,1.0,b'a Passed 1st time'
350,39.0,1.0,b'a Passed 1st time'
352,41.0,1.0,b'a Passed 1st time'
354,35.0,1.0,b'a Passed 1st time'
355,42.0,1.0,b'a Passed 1st time'
356,38.0,1.0,b'a Passed 1st time'
357,39.5,1.0,b'a Passed 1st time'
358,28.0,1.0,b'a Passed 1st time'
359,37.0,1.0,b'a Passed 1st time'
361,37.0,1.0,b'b Passed 2nd time'
362,47.0,1.0,b'a Passed 1st time'
363,36.0,1.0,b'a Passed 1st time'
364,42.0,1.0,b'a Passed 1st time'
365,35.0,0.0,b'c Failed'
366,,1.0,b'a Passed 1st time'
367,45.0,1.0,b'a Passed 1st time'
368,40.0,1.0,b'a Passed 1st time'
369,38.0,1.0,b'b Passed 2nd time'
370,44.0,1.0,b'a Passed 1st time'
372,34.0,1.0,b'b Passed 2nd time'
375,37.0,1.0,b'a Passed 1st time'
376,47.0,1.0,b'a Passed 1st time'
377,30.7,0.0,b'c Failed'
378,40.5,1.0,b'a Passed 1st time'
379,41.0,1.0,b'a Passed 1st time'
380,40.0,1.0,b'a Passed 1st time'
381,41.0,1.0,b'a Passed 1st time'
383,26.0,0.0,b'c Failed'
384,31.5,1.0,b'a Passed 1st time'
386,39.0,1.0,b'b Passed 2nd time'
387,30.0,1.0,b'b Passed 2nd time'
388,34.0,1.0,b'a Passed 1st time'
389,44.0,1.0,b'a Passed 1st time'
391,39.0,1.0,b'a Passed 1st time'
392,48.0,1.0,b'a Passed 1st time'
393,42.0,1.0,b'a Passed 1st time'
395,32.5,1.0,b'a Passed 1st time'
396,47.0,1.0,b'a Passed 1st time'
397,44.0,1.0,b'a Passed 1st time'
398,34.0,1.0,b'a Passed 1st time'
399,30.0,1.0,b'a Passed 1st time'
400,37.0,1.0,b'a Passed 1st time'
401,34.0,1.0,b'a Passed 1st time'
402,31.0,0.0,b'c Failed'
403,38.0,1.0,b'a Passed 1st time'
404,34.0,0.0,b'c Failed'
406,41.0,1.0,b'a Passed 1st time'
407,36.5,1.0,b'a Passed 1st time'
408,47.0,1.0,b'a Passed 1st time'
409,39.0,1.0,b'a Passed 1st time'
410,41.0,1.0,b'a Passed 1st time'
411,40.0,1.0,b'a Passed 1st time'
412,38.0,1.0,b'a Passed 1st time'
414,36.0,1.0,b'a Passed 1st time'
415,38.0,1.0,b'a Passed 1st time'
416,46.0,1.0,b'a Passed 1st time'
417,36.0,1.0,b'a Passed 1st time'
418,30.5,1.0,b'a Passed 1st time'
419,39.0,1.0,b'a Passed 1st time'
420,34.0,1.0,b'a Passed 1st time'
421,41.0,1.0,b'a Passed 1st time'
422,43.0,1.0,b'a Passed 1st time'
423,33.0,1.0,b'a Passed 1st time'
424,39.0,1.0,b'a Passed 1st time'
425,34.0,1.0,b'a Passed 1st time'
426,28.0,1.0,b'a Passed 1st time'
427,46.0,1.0,b'a Passed 1st time'
428,37.0,1.0,b'a Passed 1st time'
429,27.0,1.0,b'a Passed 1st time'
430,35.0,1.0,b'a Passed 1st time'
431,41.0,1.0,b'a Passed 1st time'
432,35.0,1.0,b'b Passed 2nd time'
434,35.0,1.0,b'a Passed 1st time'
435,26.5,1.0,b'a Passed 1st time'
437,40.0,1.0,b'a Passed 1st time'
438,39.0,1.0,b'a Passed 1st time'
439,28.0,0.0,b'c Failed'
440,22.5,1.0,b'a Passed 1st time'
441,34.0,0.0,b'c Failed'
442,39.0,1.0,b'a Passed 1st time'
443,44.0,1.0,b'a Passed 1st time'
444,33.0,1.0,b'a Passed 1st time'
445,38.0,1.0,b'a Passed 1st time'
446,39.0,1.0,b'a Passed 1st time'
447,48.0,1.0,b'a Passed 1st time'
449,38.0,0.0,b'c Failed'
450,46.0,1.0,b'a Passed 1st time'
451,40.0,1.0,b'a Passed 1st time'
452,39.0,1.0,b'a Passed 1st time'
454,41.0,1.0,b'a Passed 1st time'
455,43.0,1.0,b'a Passed 1st time'
456,36.0,1.0,b'a Passed 1st time'
457,33.0,1.0,b'a Passed 1st time'
459,45.0,1.0,b'b Passed 2nd time'
460,31.0,1.0,b'a Passed 1st time'
461,45.0,1.0,b'a Passed 1st time'
462,43.0,1.0,b'a Passed 1st time'
463,41.0,1.0,b'a Passed 1st time'
464,41.0,1.0,b'a Passed 1st time'
465,47.0,1.0,b'a Passed 1st time'
466,29.0,1.0,b'b Passed 2nd time'
467,37.0,1.0,b'a Passed 1st time'
468,34.0,1.0,b'a Passed 1st time'
469,42.0,1.0,b'a Passed 1st time'
472,37.0,1.0,b'a Passed 1st time'
474,39.0,1.0,b'b Passed 2nd time'
475,31.0,0.0,b'c Failed'
476,38.0,1.0,b'a Passed 1st time'
477,36.0,1.0,b'a Passed 1st time'
478,32.0,1.0,b'b Passed 2nd time'
479,34.5,1.0,b'a Passed 1st time'
480,34.0,1.0,b'a Passed 1st time'
481,44.0,1.0,b'a Passed 1st time'
483,30.0,0.0,b'c Failed'
484,30.5,1.0,b'a Passed 1st time'
485,45.0,1.0,b'a Passed 1st time'
486,42.0,1.0,b'a Passed 1st time'
488,38.0,1.0,b'a Passed 1st time'
489,39.0,1.0,b'a Passed 1st time'
490,40.0,1.0,b'a Passed 1st time'
491,35.0,1.0,b'a Passed 1st time'
492,48.0,1.0,b'a Passed 1st time'
493,35.0,1.0,b'a Passed 1st time'
494,41.0,1.0,b'a Passed 1st time'
495,42.0,1.0,b'a Passed 1st time'
496,35.0,1.0,b'a Passed 1st time'
497,30.5,1.0,b'a Passed 1st time'
499,36.0,1.0,b'a Passed 1st time'
500,37.0,1.0,b'a Passed 1st time'
501,,1.0,b'a Passed 1st time'
502,36.0,1.0,b'a Passed 1st time'
503,41.0,1.0,b'a Passed 1st time'
504,40.0,1.0,b'a Passed 1st time'
505,34.0,1.0,b'a Passed 1st time'
506,31.0,0.0,b'c Failed'
507,39.0,1.0,b'a Passed 1st time'
508,39.0,1.0,b'a Passed 1st time'
509,29.0,1.0,b'a Passed 1st time'
510,41.0,1.0,b'a Passed 1st time'
511,,1.0,b'a Passed 1st time'
512,35.0,1.0,b'a Passed 1st time'
513,40.0,1.0,b'a Passed 1st time'
514,37.0,1.0,b'a Passed 1st time'
515,42.0,1.0,b'a Passed 1st time'
516,38.0,1.0,b'a Passed 1st time'
517,37.0,1.0,b'a Passed 1st time'
518,36.0,1.0,b'a Passed 1st time'
519,37.0,1.0,b'a Passed 1st time'
520,29.0,0.0,b'c Failed'
521,30.0,1.0,b'b Passed 2nd time'
522,37.0,1.0,b'a Passed 1st time'
523,41.0,1.0,b'a Passed 1st time'
524,36.0,1.0,b'a Passed 1st time'
525,40.0,1.0,b'a Passed 1st time'
526,47.0,1.0,b'a Passed 1st time'
527,44.0,1.0,b'a Passed 1st time'
528,36.0,1.0,b'a Passed 1st time'
529,32.0,1.0,b'a Passed 1st time'
530,33.0,1.0,b'a Passed 1st time'
531,27.0,0.0,b'c Failed'
532,37.0,1.0,b'a Passed 1st time'
533,44.0,1.0,b'a Passed 1st time'
534,38.0,1.0,b'a Passed 1st time'
535,39.0,1.0,b'a Passed 1st time'
536,35.3,1.0,b'a Passed 1st time'
537,42.0,1.0,b'a Passed 1st time'
539,39.0,1.0,b'a Passed 1st time'
540,37.0,1.0,b'a Passed 1st time'
541,33.0,1.0,b'a Passed 1st time'
542,33.0,1.0,b'a Passed 1st time'
543,41.0,1.0,b'a Passed 1st time'
544,43.0,1.0,b'a Passed 1st time'
545,38.0,1.0,b'a Passed 1st time'
546,41.0,1.0,b'a Passed 1st time'
547,33.0,1.0,b'a Passed 1st time'
548,37.0,1.0,b'a Passed 1st time'
551,35.0,1.0,b'a Passed 1st time'
552,40.5,1.0,b'a Passed 1st time'
553,48.0,1.0,b'a Passed 1st time'
554,32.0,1.0,b'a Passed 1st time'
556,35.0,1.0,b'a Passed 1st time'
557,45.0,1.0,b'a Passed 1st time'
558,41.0,1.0,b'a Passed 1st time'
559,39.0,1.0,b'a Passed 1st time'
560,40.0,1.0,b'b Passed 2nd time'
561,35.5,1.0,b'a Passed 1st time'
563,41.0,1.0,b'a Passed 1st time'
564,36.0,1.0,b'a Passed 1st time'
565,34.0,1.0,b'a Passed 1st time'
566,38.0,1.0,b'a Passed 1st time'
567,33.0,1.0,b'a Passed 1st time'
568,34.0,1.0,b'b Passed 2nd time'
569,24.5,1.0,b'a Passed 1st time'
570,31.0,1.0,b'a Passed 1st time'
571,30.5,1.0,b'a Passed 1st time'
573,33.0,1.0,b'a Passed 1st time'
574,38.0,1.0,b'a Passed 1st time'
575,41.0,1.0,b'a Passed 1st time'
576,36.0,1.0,b'a Passed 1st time'
577,25.0,1.0,b'b Passed 2nd time'
579,31.0,1.0,b'a Passed 1st time'
580,40.0,1.0,b'a Passed 1st time'
581,39.0,1.0,b'a Passed 1st time'
582,31.0,1.0,b'a Passed 1st time'
583,31.0,1.0,b'b Passed 2nd time'
585,33.5,1.0,b'a Passed 1st time'
586,36.0,1.0,b'a Passed 1st time'
587,35.0,1.0,b'a Passed 1st time'
588,43.0,1.0,b'a Passed 1st time'
590,39.0,1.0,b'a Passed 1st time'
591,36.0,1.0,b'a Passed 1st time'
592,38.0,1.0,b'a Passed 1st time'
593,44.0,1.0,b'a Passed 1st time'
594,38.0,1.0,b'a Passed 1st time'
596,27.0,1.0,b'b Passed 2nd time'
597,36.0,1.0,b'a Passed 1st time'
598,31.0,1.0,b'a Passed 1st time'
600,35.5,1.0,b'a Passed 1st time'
601,32.0,1.0,b'a Passed 1st time'
602,42.0,1.0,b'a Passed 1st time'
604,44.0,1.0,b'a Passed 1st time'
606,25.0,1.0,b'a Passed 1st time'
608,39.0,1.0,b'b Passed 2nd time'
609,38.0,1.0,b'a Passed 1st time'
610,37.0,0.0,b'c Failed'
611,39.0,1.0,b'a Passed 1st time'
612,38.0,1.0,b'a Passed 1st time'
613,35.0,1.0,b'a Passed 1st time'
614,36.0,1.0,b'a Passed 1st time'
615,48.0,1.0,b'a Passed 1st time'
616,46.0,1.0,b'a Passed 1st time'
617,35.0,1.0,b'a Passed 1st time'
618,31.0,1.0,b'a Passed 1st time'
619,26.5,1.0,b'a Passed 1st time'
620,37.0,1.0,b'a Passed 1st time'
621,36.0,1.0,b'a Passed 1st time'
623,29.0,1.0,b'a Passed 1st time'
625,30.0,1.0,b'a Passed 1st time'
626,34.0,1.0,b'a Passed 1st time'
627,37.0,1.0,b'a Passed 1st time'
628,,0.0,b'c Failed'
629,20.0,0.0,b'c Failed'
630,30.0,1.0,b'a Passed 1st time'
632,37.0,1.0,b'b Passed 2nd time'
633,37.0,1.0,b'a Passed 1st time'
634,48.0,1.0,b'a Passed 1st time'
635,35.0,1.0,b'a Passed 1st time'
636,35.0,1.0,b'a Passed 1st time'
637,34.0,1.0,b'a Passed 1st time'
639,48.0,1.0,b'a Passed 1st time'
640,41.0,1.0,b'a Passed 1st time'
641,32.0,1.0,b'a Passed 1st time'
642,36.0,1.0,b'a Passed 1st time'
643,27.0,1.0,b'a Passed 1st time'
644,38.0,1.0,b'a Passed 1st time'
645,34.0,1.0,b'a Passed 1st time'
646,34.0,1.0,b'a Passed 1st time'
648,37.5,1.0,b'b Passed 2nd time'
649,47.0,1.0,b'a Passed 1st time'
650,32.0,1.0,b'a Passed 1st time'
652,32.5,1.0,b'a Passed 1st time'
653,21.0,1.0,b'b Passed 2nd time'
654,38.0,1.0,b'a Passed 1st time'
655,37.0,1.0,b'a Passed 1st time'
656,35.0,1.0,b'a Passed 1st time'
657,32.0,1.0,b'a Passed 1st time'
659,35.5,1.0,b'a Passed 1st time'
660,39.0,1.0,b'a Passed 1st time'
661,37.0,1.0,b'a Passed 1st time'
662,42.0,1.0,b'a Passed 1st time'
663,33.0,1.0,b'a Passed 1st time'
664,35.0,1.0,b'a Passed 1st time'
665,34.5,1.0,b'a Passed 1st time'
666,39.0,1.0,b'a Passed 1st time'
667,39.0,1.0,b'a Passed 1st time'
668,37.0,1.0,b'a Passed 1st time'
669,41.0,1.0,b'a Passed 1st time'
671,33.0,1.0,b'a Passed 1st time'
673,43.0,1.0,b'a Passed 1st time'
674,35.5,1.0,b'a Passed 1st time'
675,38.0,1.0,b'a Passed 1st time'
676,37.0,1.0,b'a Passed 1st time'
677,36.0,1.0,b'a Passed 1st time'
678,38.0,1.0,b'a Passed 1st time'
679,39.0,1.0,b'a Passed 1st time'
680,37.0,1.0,b'a Passed 1st time'
682,27.0,1.0,b'a Passed 1st time'
683,37.0,0.0,b'c Failed'
684,37.0,1.0,b'b Passed 2nd time'
686,23.5,1.0,b'a Passed 1st time'
687,36.0,1.0,b'a Passed 1st time'
690,36.5,1.0,b'a Passed 1st time'
691,44.0,1.0,b'a Passed 1st time'
692,41.0,1.0,b'a Passed 1st time'
693,30.5,1.0,b'a Passed 1st time'
694,32.5,1.0,b'a Passed 1st time'
695,28.0,1.0,b'a Passed 1st time'
696,29.5,1.0,b'a Passed 1st time'
697,38.0,1.0,b'a Passed 1st time'
699,31.0,1.0,b'a Passed 1st time'
700,43.0,1.0,b'a Passed 1st time'
702,40.0,1.0,b'a Passed 1st time'
703,25.0,0.0,b'c Failed'
704,39.0,1.0,b'a Passed 1st time'
705,37.0,1.0,b'a Passed 1st time'
706,41.0,1.0,b'a Passed 1st time'
707,38.0,1.0,b'a Passed 1st time'
708,36.0,1.0,b'a Passed 1st time'
709,37.0,1.0,b'a Passed 1st time'
710,37.5,1.0,b'a Passed 1st time'
711,42.0,1.0,b'a Passed 1st time'
712,42.0,1.0,b'a Passed 1st time'
713,39.0,1.0,b'a Passed 1st time'
714,45.0,1.0,b'a Passed 1st time'
715,38.0,1.0,b'a Passed 1st time'
716,31.0,1.0,b'a Passed 1st time'
717,27.0,1.0,b'a Passed 1st time'
718,39.0,1.0,b'a Passed 1st time'
719,35.0,1.0,b'a Passed 1st time'
721,35.0,1.0,b'a Passed 1st time'
722,24.0,1.0,b'b Passed 2nd time'
723,26.5,1.0,b'a Passed 1st time'
724,36.0,1.0,b'a Passed 1st time'
725,32.0,1.0,b'b Passed 2nd time'
726,37.0,1.0,b'a Passed 1st time'
727,37.0,1.0,b'a Passed 1st time'
728,37.0,1.0,b'a Passed 1st time'
730,38.0,1.0,b'a Passed 1st time'
731,35.0,1.0,b'a Passed 1st time'
732,26.0,1.0,b'b Passed 2nd time'
733,42.0,1.0,b'a Passed 1st time'
734,28.0,1.0,b'a Passed 1st time'
735,29.0,1.0,b'a Passed 1st time'
736,40.0,0.0,b'c Failed'
737,37.0,1.0,b'a Passed 1st time'
738,33.0,1.0,b'a Passed 1st time'
739,32.0,1.0,b'b Passed 2nd time'
740,29.5,1.0,b'a Passed 1st time'
741,38.0,1.0,b'a Passed 1st time'
743,39.0,1.0,b'a Passed 1st time'
744,38.0,1.0,b'a Passed 1st time'
747,27.5,1.0,b'a Passed 1st time'
748,36.0,1.0,b'a Passed 1st time'
749,43.0,1.0,b'a Passed 1st time'
750,36.0,1.0,b'a Passed 1st time'
751,34.0,1.0,b'a Passed 1st time'
752,39.0,1.0,b'a Passed 1st time'
